Country,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Agricultural production index (2004-2006=100),Food production index (2004-2006=100),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Balance of payments, current account (million US$)",Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Refugees and others of concern to UNHCR (in thousands),Infant mortality rate (per 1000 live births,Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Seats held by women in national parliaments %,Mobile-cellular subscriptions (per 100 inhabitants),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),Forested area (% of land area),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),"Pop. using improved drinking water (urban/rural, %)","Pop. using improved sanitation facilities (urban/rural, %)",Net Official Development Assist. received (% of GNI)
Chad,1284000,14900,11.8,100.2,10009,6.6,713,25.4,39,35.6,76.6,2,21.4,5.8,64.0/79.3,146,151,1990,1371,619,-99,3.3,22.5,3.4,6.3,52.8/50.5,47.1/4.0,517.0/3.7,512.3,91.2,3.6,0,2.8,88.0/114.6,14.0/30.7,1.1/5.7,12.8,40.2,2.7,43,4,0,288,6,71.8/44.8,31.4/6.5,5.74,-99
Channel Islands,180,165,870.1,98.4,-99,-99,-99,-99,-99,-99,5,24.5,70.5,8.7,49.9/65.4,-99,-99,-99,-99,-99,-99,0.5,31.5,0.8,1.5,82.4/78.7,14.5/24.5,82.3/50.3,-99,7.9,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,4.2,-99,-99,-99,-99,-99,-99,-99
"China, Hong Kong SAR",1106,7365,7014.2,85.1,309236,2.4,42431,0.1,7.2,92.7,0.2,14.9,84.9,3.5,52.6/67.8,34,34,516588,547124,-30536,10101,0.6,100,0.7,1.2,86.4/80.5,11.5/23.5,2838.7/38.9,2.5,1.6,-99,-99,3.3,-99,98.8/102.8,73.7/63.5,-99,228.8,84.9,64,-99,46.2/6.4,-99,83,-99,-99,-99,-99
"China, Macao SAR",30,623,20821.6,92.3,46178,-20.3,78586.4,-99,6.6,93.4,0.3,17.7,82.1,3.2,65.6/76.4,86,86,1257,8924,-7668,11557,2.3,100,1.8,1.2,86.2/80.3,13.3/16.1,342.7/58.3,0,3,-99,-99,2,99.7/101.1,95.9/97.0,86.3/65.2,-99,324.4,77.6,11,-99,1.3/2.2,2,62,-99,-99,-99,-99
China,9600000,1409517,150.1,106.3,11158457,6.9,8109.1,9.2,41.1,49.7,27,23.9,49.1,4.6,63.0/77.7,132,133,2118981,1588696,530285,330602,0.5,55.6,3,1.6,77.2/74.2,17.7/16.2,978.0/0.1,301.7,11.6,5.5,1.5,-99,104.3/104.0,95.6/93.2,47.3/39.9,23.7,93.2,50.3,1080,22,10291.9/7.5,101394,87,97.5/93.0,86.6/63.7,0,-99
Costa Rica,51100,4906,96.1,100.1,52958,3.7,11015,5.1,21.5,73.4,11.6,19.1,69.3,8.6,46.9/76.5,127,129,9908,15322,-5414,-2493,1.1,76.8,2.7,1.9,81.7/76.7,21.6/13.6,421.7/8.8,10.1,9.3,9.3,1.2,7.2,109.5/110.1,125.6/120.7,60.9/46.6,35.1,150.7,59.8,340,53.4,7.8/1.6,110,44,99.6/91.9,95.2/92.3,0.22,-99
Cyprus,9251,1180,127.7,100.2,19561,1.7,21941.9,2.3,10.6,87.2,4.1,16.7,79.2,10.3,57.8/70.4,80,80,1920,6604,-4684,-576,0.9,66.9,0.9,1.4,82.2/77.7,16.8/18.5,196.2/16.8,16.2,4.2,7.4,2.5,6.1,99.3/99.3,99.4/100.1,69.4/51.1,17.9,95.4,71.7,72,18.7,6.1/5.2,5,72,100.0/100.0,100.0/100.0,-99,-99
Czechia,78868,10618,137.5,96.7,185156,4.5,17561.7,2.5,37.8,59.7,2.5,37,60.5,3.9,51.3/67.8,102,102,161248,140316,20932,1683,0.1,73,0.3,1.5,81.2/75.1,15.4/25.6,405.1/3.8,6,2.5,7.4,3.7,4.1,99.9/99.6,106.1/105.1,76.3/54.2,20,129.2,81.3,53,34.5,96.5/9.2,1221,164,100.0/100.0,99.1/99.2,-99,-99
Democratic People's Republic of Korea,120538,25491,211.7,95.7,16283,-1.1,648,21.6,46.2,32.2,58.9,19.3,21.8,4.3,73.6/85.9,104,103,1010,2757,-1748,-99,0.5,60.9,0.7,2,74.1/67.2,20.6/13.5,48.5/0.2,-99,18.5,-99,2.8,-99,76.9/76.7,93.9/92.9,19.8/36.0,16.3,12.9,0,78,42.8,40.5/1.6,871,20,99.9/99.4,87.9/72.5,-99,-99
Denmark,42921,5734,135.1,99,301308,1.6,53149.3,1.2,22.9,75.8,2.4,19.2,78.4,6,58.1/66.0,105,105,94355,85133,9222,27582,0.5,87.7,0.6,1.7,82.2/78.1,16.5/25.3,572.5/10.1,48.2,3.5,10.8,3.6,8.6,100.7/102.3,133.4/128.3,96.3/69.7,37.4,128.3,96.3,47,14.4,33.5/5.9,666,119,100.0/100.0,99.6/99.6,-99,-99
Ecuador,257217,16625,66.9,99.9,100177,0.2,6205.1,10.1,34.1,55.8,25.7,19.2,55.1,5.8,49.1/79.9,118,119,16798,16189,609,-2201,1.6,63.7,1.9,2.6,78.4/72.8,28.4/10.5,387.5/2.4,133.1,21.1,9.2,1.7,5,107.9/107.4,109.2/105.3,45.3/34.6,41.6,79.4,48.9,2358,50.8,43.9/2.8,1247,42,93.4/75.5,87.0/80.7,0.31,-99
Estonia,45227,1310,30.9,88.2,22460,1.4,17112,3.4,27.4,69.2,3.8,29,67.3,7.2,55.4/69.4,136,136,13952,15759,-1807,493,-0.3,67.5,-0.4,1.6,81.2/71.8,16.4/25.9,202.3/15.4,84.2,3.2,6.4,3.3,5.5,98.5/98.3,114.7/115.6,84.8/55.4,26.7,148.7,88.4,23,52.7,19.5/14.8,242,193,100.0/99.0,97.5/96.6,-99,-99
Falkland Islands (Malvinas),12173,3,0.2,110.5,-99,-99,-99,-99,-99,-99,-99,-99,-99,1.2,77.2/86.0,96,105,4,17,-13,-99,0.3,76.2,1,-99,-99,16.4/15.7,1.6/54.1,-99,-99,-99,-99,-99,-99,-99,-99,-99,163.5,98.3,23,0,0.1/18.9,0,257,-99,-99,-99,-99
Finland,338440,5523,18.2,97.2,231960,0.2,42148.1,2.5,26.8,70.6,4.2,22,73.8,8.9,54.5/61.7,101,101,57326,60502,-3176,-979,0.4,84.2,0.5,1.8,83.7/77.7,16.4/27.8,315.9/5.7,32.6,2.3,9.7,3,7.2,101.4/101.7,156.3/142.8,95.6/79.3,42,135.5,92.7,36,73.1,47.3/8.6,757,257,100.0/100.0,99.4/88.0,-99,-99
France,551500,64980,118.7,96.7,2418946,1.3,36304.2,1.7,19.5,78.8,2.7,20.5,76.8,9.8,50.3/59.4,103,103,488885,560555,-71670,-4861,0.4,79.5,0.8,2,85.0/78.8,18.1/25.7,7784.4/12.1,356.2,3.4,11.5,3.2,5.5,105.0/105.7,111.2/110.1,71.0/57.9,25.8,102.6,84.7,278,30.8,303.3/4.7,5694,158,100.0/100.0,98.6/98.9,-99,-99
French Guiana,83534,283,3.4,100,-99,-99,-99,-99,-99,-99,-99,14.9,58.3,21.3,48.4/58.8,120,120,-99,-99,-99,-99,2.8,84.4,2.8,3.5,82.6/76.1,33.2/8.4,106.1/39.5,-99,9.3,-99,-99,-99,-99,-99,-99,-99,-99,-99,73,98.9,0.7/2.8,3,50,94.5/75.1,94.9/75.8,-99,-99
French Polynesia,4000,283,77.3,103.7,5135,1.6,18161,2.8,11.9,85.2,8.9,16.9,74.2,17,46.4/63.0,98,98,173,1491,-1319,208,0.7,55.9,0.9,2.1,78.6/74.0,23.3/11.9,30.1/10.6,-99,6.9,-99,-99,-99,-99,-99,-99,-99,94.9,64.6,175,42.3,0.8/2.9,1,43,100.0/100.0,98.5/98.5,-99,-99
Georgia,69700,3912,56.3,91.4,13965,2.8,3491.4,9,24.1,66.9,44.7,11.2,44.1,11.4,57.9/79.0,85,86,2114,7236,-5122,-1775,-1.4,53.6,-0.1,2,77.0/68.5,19.2/20.8,168.8/4.2,274.1,11.2,7.4,4.8,2,118.2/115.5,103.8/103.6,47.8/39.2,16,129,45.2,120,40.6,9.0/2.2,61,47,100.0/100.0,95.2/75.9,3.3,-99
Germany,357376,82114,235.6,97,3363600,1.7,41686.2,0.6,30.5,68.9,1.4,27.5,71.2,4.2,54.5/66.1,111,111,1340752,1060672,280080,279969,0.2,75.3,0.2,1.4,82.9/77.9,13.1/28.0,12005.7/14.9,1052.1,3.4,11.3,4.1,5,104.7/105.2,99.6/105.6,66.8/69.7,37,116.7,87.6,116,32.7,719.9/8.9,5004,158,100.0/100.0,99.3/99.0,-99,-99
Greenland,2166086,56,0.1,112.1,2078,0.3,36976.7,10,15.9,74.1,4.6,12.6,82.5,9.7,-99,99,99,553,623,-71,-99,-0.1,86.4,0.7,2,73.4/68.7,21.0/13.2,6.0/10.7,-99,-99,-99,-99,-99,-99,-99,-99,-99,106.5,67.6,23,0,0.5/9.0,2,154,100.0/100.0,100.0/100.0,-99,-99
Guadeloupe,1705,450,266,86.4,-99,-99,-99,-99,-99,-99,3.3,13.5,65.5,26.1,49.6/56.5,100,100,-99,-99,-99,-99,0,98.4,0.5,2,84.0/76.8,18.6/23.6,98.5/21.0,-99,5.8,-99,-99,-99,-99,-99,-99,-99,-99,-99,73,43,2.6/5.5,5,80,99.3/99.8,97.0/89.5,-99,-99
Haiti,27750,10981,398.4,97.8,8501,1.7,793.7,16.7,38.2,45.1,46.9,12.6,40.6,12.9,62.0/71.7,163,166,984,3316,-2332,-723,1.4,58.6,3.8,3.1,64.4/60.2,33.0/7.3,39.5/0.4,1.9,46.9,7.6,-99,-99,-99,-99,-99,2.6,69.9,12.2,205,3.5,2.9/0.3,136,16,64.9/47.6,33.6/19.2,11.73,-99
